# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)	Length (nm)
0	-0.73954153	-0.673111	0	1.1800237e-18	3.88	100
0	-0.73277354	-0.6804727	0	1.1800237e-18	3.89	100
0	-0.7259323	-0.68776613	0	1.1800236e-18	3.9	100
0	-0.7190185	-0.694991	0	1.1800236e-18	3.91	100
0	-0.71203274	-0.70214635	0	1.1800237e-18	3.92	100
0	-0.7049758	-0.7092314	0	1.1800234e-18	3.93	100
0	-0.6978483	-0.71624553	0	1.1800235e-18	3.94	100
0	-0.6906511	-0.7231881	0	1.1800236e-18	3.95	100
0	-0.6833848	-0.7300585	0	1.1800237e-18	3.96	100
0	-0.67605025	-0.73685557	0	1.1800237e-18	3.97	100
0	-0.6686479	-0.7435791	0	1.1800235e-18	3.98	100
0	-0.6611788	-0.75022835	0	1.1800236e-18	3.99	100
0	-0.65364367	-0.7568025	0	1.1800234e-18	4	100
0	-0.646043	-0.7633009	0	1.1800235e-18	4.01	100
0	-0.6383779	-0.76972324	0	1.1800238e-18	4.02	100
0	-0.63064885	-0.7760684	0	1.1800236e-18	4.03	100
0	-0.6228568	-0.78233594	0	1.1800234e-18	4.04	100
0	-0.61500245	-0.78852534	0	1.1800235e-18	4.05	100
0	-0.6070865	-0.7946358	0	1.1800236e-18	4.06	100
0	-0.59910995	-0.80066687	0	1.1800235e-18	4.07	100
0	-0.59107345	-0.8066178	0	1.1800234e-18	4.08	100
0	-0.5829778	-0.81248814	0	1.1800236e-18	4.09	100
0	-0.5748239	-0.8182771	0	1.1800235e-18	4.1	100
0	-0.5666126	-0.8239844	0	1.1800238e-18	4.11	100
0	-0.55834454	-0.8296091	0	1.1800235e-18	4.12	100
0	-0.55002064	-0.8351511	0	1.1800238e-18	4.13	100
0	-0.5416418	-0.8406094	0	1.1800234e-18	4.14	100
0	-0.5332087	-0.8459838	0	1.1800237e-18	4.15	100
0	-0.5247224	-0.8512734	0	1.1800234e-18	4.16	100
0	-0.51618356	-0.85647804	0	1.1800235e-18	4.17	100
0	-0.50759315	-0.8615969	0	1.1800235e-18	4.18	100
0	-0.49895194	-0.8666298	0	1.1800236e-18	4.19	100
0	-0.49026084	-0.8715757	0	1.1800234e-18	4.2	100
0	-0.48152065	-0.87643474	0	1.1800234e-18	4.21	100
0	-0.47273237	-0.88120604	0	1.1800234e-18	4.22	100
0	-0.46389687	-0.8858892	0	1.1800235e-18	4.23	100
0	-0.455015	-0.8904838	0	1.1800234e-18	4.24	100
0	-0.44608745	-0.89498943	0	1.1800234e-18	4.25	100
0	-0.43711543	-0.8994053	0	1.1800234e-18	4.26	100
0	-0.42809972	-0.90373147	0	1.1800235e-18	4.27	100
0	-0.41904113	-0.90796727	0	1.1800234e-18	4.28	100
0	-0.40994066	-0.9121123	0	1.1800235e-18	4.29	100
0	-0.40079919	-0.916166	0	1.1800234e-18	4.3	100
0	-0.39161763	-0.92012805	0	1.1800234e-18	4.31	100
0	-0.3823969	-0.92399824	0	1.1800235e-18	4.32	100
