# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.6421205	0.6421196	0	2.3191474e-19	-4.1554424e-21	0.7853982	0.2	65
0	0.99995786	-2.8498677e-09	0	3.3712038e-19	-3.631847e-21	0	0.15	65
0	0.63121516	0.6312142	0	1.8609962e-19	-3.2421863e-21	0.7853982	0.15	65
0	0.9981379	-1.4724645e-08	0	4.8714476e-19	-1.1290935e-20	0	1	60
0	0.7053922	0.70539075	0	4.8420475e-19	-1.1284558e-20	0.7853982	1	60
0	0.997916	-1.4132451e-08	0	4.7962403e-19	-1.1064891e-20	0	0.95	60
0	0.70566833	0.7056655	0	4.8031183e-19	-1.1065423e-20	0.7853982	0.95	60
0	0.99777627	-1.5887107e-08	0	4.740267e-19	-1.0887735e-20	0	0.9	60
0	0.70588493	0.7058825	0	4.772904e-19	-1.0893126e-20	0.7853982	0.9	60
0	0.99767643	-1.0542852e-08	0	4.6641427e-19	-1.0615279e-20	0	0.85	60
0	0.7062114	0.7062102	0	4.728632e-19	-1.0626517e-20	0.7853982	0.85	60
0	0.9976534	-1.1577477e-08	0	4.5889804e-19	-1.0327708e-20	0	0.8	60
