# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)
0	-0.6906511	-0.7231881	0	9.76973e-19	3.95
0	-0.6833848	-0.7300585	0	9.76951e-19	3.96
0	-0.67605025	-0.73685557	0	9.769213e-19	3.97
0	-0.6686479	-0.7435791	0	9.768838e-19	3.98
0	-0.66117877	-0.7502282	0	9.768385e-19	3.99
0	-0.6536436	-0.75680256	0	9.767857e-19	4
0	-0.646043	-0.76330096	0	9.767254e-19	4.01
0	-0.6383779	-0.7697233	0	9.766578e-19	4.02
0	-0.6306489	-0.7760684	0	9.765827e-19	4.03
0	-0.62285674	-0.78233594	0	9.765003e-19	4.04
0	-0.6150024	-0.7885253	0	9.764109e-19	4.05
0	-0.6070865	-0.7946358	0	9.763147e-19	4.06
0	-0.5991099	-0.8006668	0	9.762118e-19	4.07
0	-0.5910734	-0.80661774	0	9.76102e-19	4.08
0	-0.5829779	-0.812488	0	9.759859e-19	4.09
0	-0.5748239	-0.8182771	0	9.758635e-19	4.1
0	-0.5666126	-0.82398444	0	9.757353e-19	4.11
0	-0.55834454	-0.8296092	0	9.756009e-19	4.12
0	-0.5500207	-0.83515114	0	9.754612e-19	4.13
0	-0.54164183	-0.84060943	0	9.753157e-19	4.14
0	-0.5332088	-0.84598386	0	9.751657e-19	4.15
0	-0.52472246	-0.8512734	0	9.750101e-19	4.16
0	-0.5161835	-0.85647804	0	9.748499e-19	4.17
0	-0.50759315	-0.86159694	0	9.746854e-19	4.18
0	-0.498952	-0.8666298	0	9.745169e-19	4.19
0	-0.49026078	-0.8715758	0	9.743444e-19	4.2
0	-0.48152065	-0.8764346	0	9.741681e-19	4.21
0	-0.47273242	-0.88120604	0	9.739884e-19	4.22
0	-0.4638969	-0.88588923	0	9.73806e-19	4.23
0	-0.45501494	-0.89048374	0	9.736207e-19	4.24
0	-0.44608748	-0.8949893	0	9.734328e-19	4.25
0	-0.43711543	-0.89940536	0	9.732428e-19	4.26
0	-0.42809966	-0.9037315	0	9.73051e-19	4.27
0	-0.4190411	-0.90796727	0	9.728577e-19	4.28
0	-0.40994066	-0.91211236	0	9.726634e-19	4.29
0	-0.4007992	-0.91616595	0	9.724676e-19	4.3
0	-0.39161766	-0.920128	0	9.722716e-19	4.31
0	-0.3823969	-0.92399824	0	9.72075e-19	4.32
0	-0.37313798	-0.92777586	0	9.718786e-19	4.33
0	-0.3638417	-0.9314608	0	9.716824e-19	4.34
0	-0.35450906	-0.9350525	0	9.714869e-19	4.35
0	-0.345141	-0.93855095	0	9.712926e-19	4.36
0	-0.33573833	-0.94195527	0	9.710991e-19	4.37
0	-0.32630217	-0.9452656	0	9.709074e-19	4.38
0	-0.31683335	-0.94848114	0	9.707176e-19	4.39
0	-0.30733284	-0.95160216	0	9.705301e-19	4.4
0	-0.29780167	-0.9546279	0	9.703451e-19	4.41
0	-0.2882406	-0.95755804	0	9.701624e-19	4.42
0	-0.27865082	-0.96039265	0	9.699833e-19	4.43
0	-0.2690331	-0.9631309	0	9.698071e-19	4.44
0	-0.25938854	-0.9657731	0	9.696352e-19	4.45
0	-0.24971798	-0.96831864	0	9.694666e-19	4.46
0	-0.24002248	-0.97076744	0	9.693024e-19	4.47
0	-0.23030297	-0.973119	0	9.691426e-19	4.48
0	-0.2205604	-0.97537327	0	9.689875e-19	4.49
0	-0.21079579	-0.97753024	0	9.688373e-19	4.5
0	-0.20101012	-0.9795892	0	9.686924e-19	4.51
0	-0.19120435	-0.9815503	0	9.685529e-19	4.52
0	-0.18137947	-0.9834134	0	9.684192e-19	4.53
0	-0.1715364	-0.9851779	0	9.682912e-19	4.54
0	-0.16167623	-0.98684394	0	9.681691e-19	4.55
0	-0.15179987	-0.9884112	0	9.680534e-19	4.56
0	-0.14190833	-0.98987985	0	9.679442e-19	4.57
0	-0.13200259	-0.99124944	0	9.678414e-19	4.58
0	-0.12208367	-0.9925198	0	9.677456e-19	4.59
0	-0.11215253	-0.99369097	0	9.676568e-19	4.6
0	-0.10221017	-0.99476284	0	9.675749e-19	4.61
0	-0.092257604	-0.9957351	0	9.675002e-19	4.62
0	-0.0822958	-0.99660796	0	9.674329e-19	4.63
0	-0.07232577	-0.9973811	0	9.67373e-19	4.64
0	-0.062348515	-0.99805444	0	9.673208e-19	4.65
0	-0.05236502	-0.99862796	0	9.672761e-19	4.66
0	-0.04237629	-0.9991017	0	9.672389e-19	4.67
0	-0.03238332	-0.99947554	0	9.672097e-19	4.68
0	-0.022387113	-0.99974954	0	9.671884e-19	4.69
0	-0.012388665	-0.99992335	0	9.671748e-19	4.7
0	-0.002388978	-0.9999971	0	9.671688e-19	4.71
0	0.007610946	-0.99997103	0	9.671708e-19	4.72
0	0.01761011	-0.9998451	0	9.671808e-19	4.73
0	0.027607514	-0.99961895	0	9.671988e-19	4.74
0	0.03760215	-0.9992928	0	9.672243e-19	4.75
0	0.04759304	-0.9988667	0	9.672574e-19	4.76
