# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.64799064	-0.37022662	0	-3.9592173e-18	-5.7869274e-18	0.19634955	5.006913	0.81	1e-07	1.28e-07	0	4e-09
0	0.6931596	-0.35319933	0	-3.9678266e-18	-5.787345e-18	0.19634955	5.105088	0.81	1e-07	1.28e-07	0	4e-09
0	0.73643583	-0.3319264	0	-3.9760864e-18	-5.787703e-18	0.19634955	5.203263	0.81	1e-07	1.28e-07	0	4e-09
0	0.7773835	-0.3066172	0	-3.984001e-18	-5.7879775e-18	0.19634955	5.3014374	0.81	1e-07	1.28e-07	0	4e-09
0	0.8155798	-0.2775433	0	-3.991551e-18	-5.7881554e-18	0.19634955	5.3996124	0.81	1e-07	1.28e-07	0	4e-09
0	0.8506339	-0.24503356	0	-3.9986883e-18	-5.7882356e-18	0.19634955	5.497787	0.81	1e-07	1.28e-07	0	4e-09
0	0.8822034	-0.20946243	0	-4.005336e-18	-5.788229e-18	0.19634955	5.595962	0.81	1e-07	1.28e-07	0	4e-09
0	0.9100068	-0.17123565	0	-4.011382e-18	-5.788155e-18	0.19634955	5.6941366	0.81	1e-07	1.28e-07	0	4e-09
0	0.93382865	-0.13077259	0	-4.0166948e-18	-5.7880326e-18	0.19634955	5.7923117	0.81	1e-07	1.28e-07	0	4e-09
0	0.95351315	-0.08848742	0	-4.021132e-18	-5.787886e-18	0.19634955	5.8904862	0.81	1e-07	1.28e-07	0	4e-09
0	0.9689617	-0.044771593	0	-4.0245575e-18	-5.787735e-18	0.19634955	5.988661	0.81	1e-07	1.28e-07	0	4e-09
0	0.9801118	-7.319003e-10	0	-4.0268455e-18	-5.787591e-18	0.19634955	6.086836	0.81	1e-07	1.28e-07	0	4e-09
