# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.50827545	0.4956483	0	-4.2835504e-19	-1.0904226e-18	1.5707964	0	0.49	5e-08	9e-08	0	2e-09
0	0.9993789	-7.086655e-09	0	-4.3672955e-19	-1.0905223e-18	0	0	0.49	5e-08	9.2e-08	0	2e-09
0	0.5076649	0.4959272	0	-4.2834147e-19	-1.0904364e-18	1.5707964	0	0.49	5e-08	9.2e-08	0	2e-09
0	0.9993791	-5.6739666e-09	0	-4.36158e-19	-1.0905223e-18	0	0	0.49	5e-08	9.4e-08	0	2e-09
0	0.50713634	0.49616897	0	-4.2833e-19	-1.0904475e-18	1.5707964	0	0.49	5e-08	9.4e-08	0	2e-09
0	0.99937916	-6.2502394e-09	0	-4.3563824e-19	-1.0905225e-18	0	0	0.49	5e-08	9.6e-08	0	2e-09
0	0.5066441	0.49639508	0	-4.2832027e-19	-1.0904572e-18	1.5707964	0	0.49	5e-08	9.6e-08	0	2e-09
0	0.9993793	-5.7811644e-09	0	-4.3516395e-19	-1.0905228e-18	0	0	0.49	5e-08	9.8e-08	0	2e-09
0	0.50619495	0.49660194	0	-4.2831182e-19	-1.0904654e-18	1.5707964	0	0.49	5e-08	9.8e-08	0	2e-09
0	0.99937934	-5.788846e-09	0	-4.347305e-19	-1.0905228e-18	0	0	0.49	5e-08	1e-07	0	2e-09
