# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Length (nm)
2.720009834042684e-09	0.9698089	-0.11147277	0.010039629	3.2257593e-18	-0	65
2.730022953042297e-09	0.9694235	-0.1162889	0.0066674068	3.0257363e-18	-0	65
2.7401867114396337e-09	0.9676902	-0.12371916	-0.004531644	3.7583034e-18	-0	65
2.7500020293823822e-09	0.96777564	-0.1114863	-0.013727274	3.2221958e-18	-0	65
2.76012351845305e-09	0.96946365	-0.0768648	-0.014180485	2.2600967e-18	-0	65
2.7700746340429924e-09	0.9686652	-0.045780025	-0.015173634	4.0720542e-18	-0	65
2.7801113738504632e-09	0.9711303	-0.037570935	-0.010883262	3.2085259e-18	-0	65
2.790084959143599e-09	0.97397697	-0.024809266	-0.025152935	3.6085188e-18	-0	65
2.8001460300236276e-09	0.9729262	0.012530865	-0.032510333	2.0794814e-18	-0	65
2.8100878021505868e-09	0.97731173	0.05003481	-0.02330068	3.4250602e-18	-0	65
2.8201452150142804e-09	0.9784962	0.08788184	-0.011455841	3.3046773e-18	-0	65
2.830035941065254e-09	0.97966886	0.098426156	-0.0099920295	2.6618314e-18	-0	65
2.840143711032127e-09	0.975366	0.118245974	-0.0026471908	2.2242186e-18	-0	65
2.8500633877606124e-09	0.9711761	0.13040324	0.00026861214	2.5855722e-18	-0	65
2.8600070853457227e-09	0.9681612	0.12949353	0.008472064	1.0533408e-18	-0	65
2.8701152580162406e-09	0.96459085	0.12154716	0.005176608	1.4461981e-18	-0	65
2.8800312283847763e-09	0.9669643	0.12928417	0.011256597	1.434352e-18	-0	65
2.8901548088582613e-09	0.9704452	0.1246458	0.009726263	1.6920392e-18	-0	65
2.9000509981329517e-09	0.97136605	0.11366819	0.0043250583	3.3561426e-18	-0	65
2.9100002500708097e-09	0.97131693	0.10187893	0.0072528156	1.9436087e-18	-0	65
2.9200218757799674e-09	0.97045755	0.09583215	-0.00055957696	9.385607e-19	-0	65
2.930042547762263e-09	0.9654103	0.10197384	0.00067741	3.0249832e-18	-0	65
2.9400278248518623e-09	0.96617836	0.10863218	0.0035875668	2.5329342e-18	-0	65
2.9501287922903442e-09	0.9697106	0.116070576	0.0064475695	2.2382643e-18	-0	65
2.9600265574727955e-09	0.9710595	0.11615635	-0.0023751357	2.1800833e-18	-0	65
2.970155526188305e-09	0.9716592	0.12506431	-0.014450586	2.770135e-18	-0	65
2.9800982310934706e-09	0.96965396	0.13936742	-0.011991721	2.6178016e-18	-0	65
2.9900077412326442e-09	0.96682245	0.15899938	-0.0111897355	1.2651353e-18	-0	65
3.000158843112181e-09	0.9643217	0.17221509	-0.0042795585	1.600715e-18	-0	65
3.010059543947241e-09	0.9637583	0.17713714	0.0037047276	1.4845683e-18	-0	65
3.0200431486948707e-09	0.9653185	0.17131098	0.008872171	2.1356701e-18	-0	65
3.030193987032185e-09	0.9636884	0.1605243	0.008059138	2.581881e-18	-0	65
3.0401134219668077e-09	0.96707875	0.14829037	0.011100397	9.412153e-19	-0	65
3.050098956798892e-09	0.96652913	0.13641576	0.009363951	2.3224287e-18	-0	65
3.0600422867249874e-09	0.97021043	0.12563132	-0.0015939673	2.8544012e-18	-0	65
