# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Roundness ()	Size (nm)	Temp (K)	alpha ()	Cell_size (m)
1.970032059674522e-09	-0.03861967	0.97758406	0.007930363	7.4994486e-18	-0	0.49	100	300	0.009999999	2e-09
1.980011770567851e-09	-0.029743146	0.97987163	0.008940171	6.7932853e-18	-0	0.49	100	300	0.009999999	2e-09
1.9900118173253922e-09	-0.020549573	0.97847044	0.003370621	6.5357294e-18	-0	0.49	100	300	0.009999999	2e-09
2.0000284034966303e-09	-0.014071315	0.9746367	0.0033038324	7.330521e-18	-0	0.49	100	300	0.009999999	2e-09
2.010010951562589e-09	-0.0075732227	0.9723959	0.0020449874	6.4770335e-18	-0	0.49	100	300	0.009999999	2e-09
2.0200262003456636e-09	-0.0038303584	0.9718303	0.0024740587	6.1371938e-18	-0	0.49	100	300	0.009999999	2e-09
2.030018576045144e-09	0.007947903	0.9750487	0.0008643888	6.076335e-18	-0	0.49	100	300	0.009999999	2e-09
2.04001051572856e-09	0.0043245265	0.97847277	0.0004616197	6.7122878e-18	-0	0.49	100	300	0.009999999	2e-09
2.050035653279995e-09	0.004428684	0.97988534	0.0019293118	6.7192936e-18	-0	0.49	100	300	0.009999999	2e-09
2.060002421299964e-09	0.0051534628	0.9795659	0.0023539024	5.712874e-18	-0	0.49	100	300	0.009999999	2e-09
2.0700407914256375e-09	0.008270282	0.9741184	0.0019739014	6.674859e-18	-0	0.49	100	300	0.009999999	2e-09
2.0800194991391125e-09	0.012202843	0.97035885	0.0034577546	6.5241125e-18	-0	0.49	100	300	0.009999999	2e-09
2.09003862968359e-09	0.024139177	0.9703724	0.0069247284	6.1281217e-18	-0	0.49	100	300	0.009999999	2e-09
2.1000284012238875e-09	0.039403852	0.97514564	0.004150647	6.0740017e-18	-0	0.49	100	300	0.009999999	2e-09
2.1100441006061538e-09	0.048333813	0.97916734	0.006435164	5.9452858e-18	-0	0.49	100	300	0.009999999	2e-09
2.1200153046042325e-09	0.04869733	0.9799055	0.0004969013	6.753e-18	-0	0.49	100	300	0.009999999	2e-09
2.1300371134937317e-09	0.04120209	0.9780791	-0.0050233034	6.300768e-18	-0	0.49	100	300	0.009999999	2e-09
2.140015245800368e-09	0.035900395	0.97426677	-0.0019104851	6.8621956e-18	-0	0.49	100	300	0.009999999	2e-09
2.1500188647071625e-09	0.035623636	0.9723703	-0.003163229	6.6719425e-18	-0	0.49	100	300	0.009999999	2e-09
2.16002810736959e-09	0.035800967	0.9733865	-0.00050770957	5.7977552e-18	-0	0.49	100	300	0.009999999	2e-09
2.1700359595027762e-09	0.042350583	0.97451216	-0.0029162683	5.876627e-18	-0	0.49	100	300	0.009999999	2e-09
2.1800427551464964e-09	0.04486528	0.9767567	0.003567393	4.984745e-18	-0	0.49	100	300	0.009999999	2e-09
2.190023566741162e-09	0.046314873	0.97666675	0.009323863	6.5995443e-18	-0	0.49	100	300	0.009999999	2e-09
